Group,size,MaxVcores,MaxMemory,MaxDataIOPS,CurrentElbow
1,1024,0,0,0,0.850000
2,1632,0,0,1,0.973958333
3,278,0,1,0,0.935160324
4,406,0,1,1,0.969270833
5,525,1,0,0,0.986979167
6,3517,1,0,1,0.997402597
7,114,1,1,0,0.966840731
8,1640,1,1,1,0.997395833
