MaxVcores,MaxMemory,MaxDataIOPS,MaxLogRate,CurrentElbow,Group
0,0,0,0,0.911841147,0
1,0,1,1,0.999270747,1
1,0,0,1,0.992500227,2
0,0,1,1,0.997842874,3
1,0,1,0,0.988682884,4
0,0,0,1,0.991849789,5
0,0,1,0,0.957989224,6
1,1,1,1,0.992647225,7
1,0,0,0,0.978524283,8
0,1,1,1,0.991956688,9
0,1,1,0,0.86132206,10
0,1,0,0,0.836223573,11
1,1,1,0,0.983993603,12
0,1,0,1,0.914877932,13
1,1,0,1,0.974720899,14
1,1,0,0,0.825659088,15
